INDEX YEAR MN HR RH NO1 MWS W1 W2 W3 W4 NO2 N NE E SE S SW W NW CA VA NO3
42943 1984  1 3 67.00000 31  4.500000 0.00000000  0.00000000 28.00000  3.000000 31  0  6 14  2  2  0  2  2  3  0 31
42943 1984  2 3 50.00000 29  5.800000 0.00000000  0.00000000 28.00000  1.000000 29  2 12  6  1  1  2  3  1  1  0 29
42943 1984  3 3 21.00000 31  4.900000 0.00000000  0.00000000 31.00000  0.000000 31  4  6 10  3  3  1  2  2  0  0 31
42943 1984  4 3 24.00000 29 10.200000 0.00000000  0.00000000 29.00000  0.000000 29  1  2  2  1  3  7  8  5  0  0 29
42943 1984  5 3 20.00000 31 15.400000 0.00000000  8.00000000 23.00000  0.000000 31  2  1  0  0  0  1 14 13  0  0 31
42943 1984  6 3 64.00000 30 17.700000 0.00000000 13.00000000 17.00000  0.000000 30  1  0  0  1  0  5 19  4  0  0 30
42943 1984  7 3 79.00000 31 14.300000 0.00000000  2.00000000 29.00000  0.000000 31  1  0  0  0  0  6 14 10  0  0 31
42943 1984  8 3 81.00000 31 15.600000 0.00000000  7.00000000 24.00000  0.000000 31  0  0  0  0  0  6 20  5  0  0 31
42943 1984  9 3 70.00000 30 10.700000 0.00000000  2.00000000 27.00000  1.000000 30  5  2  1  0  1  1 12  7  1  0 30
42943 1984 10 3 58.00000 30  6.800000 0.00000000  0.00000000 30.00000  0.000000 30  7  5  4  2  1  1  4  6  0  0 30
42943 1984 11 3 37.00000 22  6.400000 0.00000000  0.00000000 22.00000  0.000000 22  4  7  7  2  1  0  1  0  0  0 22
42943 1984 12 3 38.00000 31  7.500000 0.00000000  0.00000000 31.00000  0.000000 31  2 12 11  2  2  1  0  1  0  0 31
42943 1985  1 3 64.00000 31  6.700000 0.00000000  0.00000000 31.00000  0.000000 31  3 11  8  3  2  2  1  1  0  0 31
42943 1985  2 3 62.00000 27  7.200000 0.00000000  0.00000000 27.00000  0.000000 27  7 10  5  3  1  0  0  1  0  0 27
42943 1985  3 3 42.00000 31  6.500000 0.00000000  0.00000000 31.00000  0.000000 31  5  6  1  1  4  2  6  6  0  0 31
42943 1985  4 3 33.00000 30 12.200000 0.00000000  1.00000000 29.00000  0.000000 30 10  2  1  3  1  0  5  8  0  0 30
42943 1985  5 3 33.00000 30 16.900000 0.00000000  8.00000000 23.00000  0.000000 31  2  0  0  0  3  5 11 10  0  0 31
42943 1985  6 3 65.00000 30 23.700000 0.00000000 22.00000000  8.00000  0.000000 30  0  0  0  0  1  2 17 10  0  0 30
42943 1985  7 3 80.00000 31 17.700000 0.00000000 10.00000000 21.00000  0.000000 31  0  0  0  0  0  9 17  5  0  0 31
42943 1985  8 3 81.00000 31 14.700000 0.00000000  5.00000000 26.00000  0.000000 31  0  0  0  0  0  3 22  6  0  0 31
42943 1985  9 3 72.00000 30 12.700000 0.00000000  1.00000000 29.00000  0.000000 30  1  1  0  1  3  2 18  4  0  0 30
42943 1985 10 3 66.00000 31  7.800000 0.00000000  0.00000000 31.00000  0.000000 31  7  7  3  4  3  2  3  2  0  0 31
42943 1985 11 3 41.00000 30  6.100000 0.00000000  0.00000000 30.00000  0.000000 30  4 13  6  3  2  1  1  0  0  0 30
42943 1985 12 3 46.00000 31  6.500000 0.00000000  0.00000000 31.00000  0.000000 31  2  7 17  1  3  1  0  0  0  0 31
42943 1986  1 3 51.00000 30  7.200000 0.00000000  0.00000000 30.00000  0.000000 30  2 10  8  5  3  2  0  0  0  0 30
42943 1986  2 3 66.00000 28  8.100000 0.00000000  1.00000000 27.00000  0.000000 28  1 10 11  2  0  2  2  0  0  0 28
42943 1986  3 3 46.00000 30  8.300000 0.00000000  1.00000000 29.00000  0.000000 30  2  8  9  2  1  2  3  3  0  0 30
42943 1986  4 3 65.72549  6  4.445098 0.00000000  0.00000000  6.00000  0.000000  6  1  0  0  0  0  3  2  0  0  0  6
42943 1986  5 3 28.00000 31 12.800000 0.00000000  6.00000000 25.00000  0.000000 31  6  0  2  1  0  2 10 10  0  0 31
42943 1986  6 3 65.00000 30 12.700000 0.00000000  3.00000000 27.00000  0.000000 30  2  0  1  0  0  7 17  3  0  0 30
42943 1986  7 3 79.00000 30 15.200000 0.00000000  7.00000000 23.00000  0.000000 30  0  0  0  0  0  4 24  2  0  0 30
42943 1986  8 3 81.00000 30 13.800000 0.00000000  6.00000000 24.00000  0.000000 30  1  0  0  1  0  2 23  3  0  0 30
42943 1986  9 3 68.00000 30  8.400000 0.00000000  0.00000000 30.00000  0.000000 30  5  4  0  0  0  0 14  7  0  0 30
42943 1986 10 3 49.00000 29  6.500000 0.00000000  0.00000000 29.00000  0.000000 29  5  9  3  2  3  1  3  3  0  0 29
42943 1986 11 3 51.00000 30  6.300000 0.00000000  0.00000000 30.00000  0.000000 30  3 10 10  1  1  2  2  1  0  0 30
42943 1986 12 3 56.00000 30  7.000000 0.00000000  0.00000000 30.00000  0.000000 30  1  9 10  4  4  1  0  1  0  0 30
42943 1987  1 3 62.00000 31  7.600000 0.00000000  0.00000000 31.00000  0.000000 31  1  8 15  4  1  0  1  1  0  0 31
42943 1987  2 3 47.00000 28  6.400000 0.00000000  0.00000000 28.00000  0.000000 28  3  9  8  2  1  2  1  2  0  0 28
42943 1987  3 3 34.00000 31  7.800000 0.00000000  0.00000000 31.00000  0.000000 31  4  5  6  4  2  3  4  3  0  0 31
42943 1987  4 3 21.00000 30 12.600000 0.00000000  2.00000000 28.00000  0.000000 30  4  3  1  1  3  5  8  5  0  0 30
42943 1987  5 3 34.00000 31 12.900000 0.00000000  3.00000000 28.00000  0.000000 31  6  0  0  1  3  5 10  6  0  0 31
42943 1987  6 3 60.00000 30 16.500000 0.00000000 10.00000000 20.00000  0.000000 30  1  0  0  1  1  2 19  6  0  0 30
42943 1987  7 3 80.00000 31 19.400000 0.00000000 14.00000000 17.00000  0.000000 31  0  0  0  0  0  4 23  4  0  0 31
42943 1987  8 3 83.00000 31 17.500000 0.00000000 15.00000000 16.00000  0.000000 31  2  0  0  0  2  3 19  5  0  0 31
42943 1987  9 3 72.00000 30 15.000000 0.00000000  7.00000000 23.00000  0.000000 30  0  0  1  0  1  2 18  8  0  0 30
42943 1987 10 3 66.00000 31  7.200000 0.00000000  0.00000000 31.00000  0.000000 31  3  9  6  6  2  3  2  0  0  0 31
42943 1987 11 3 65.00000 30  5.800000 0.00000000  0.00000000 30.00000  0.000000 30  6 15  6  2  0  1  0  0  0  0 30
42943 1987 12 3 53.00000 31  9.300000 0.00000000  0.00000000 31.00000  0.000000 31  2 15 12  1  0  1  0  0  0  0 31
42943 1988  1 3 55.00000 31  7.800000 0.00000000  0.00000000 31.00000  0.000000 31  0  9 13  4  3  1  0  1  0  0 31
42943 1988  2 3 47.00000 28  9.300000 0.00000000  0.00000000 29.00000  0.000000 29  2  9  5  2  3  3  4  1  0  0 29
42943 1988  3 3 31.00000 31 12.300000 0.00000000  4.00000000 27.00000  0.000000 31  3  4  5  1  1  2  8  7  0  0 31
